time,low,high,open,close,vol
2025-11-20 00:00:00+00:00,91098.01,91469.99,91465.04,91400.4,102.60552771
2025-11-20 00:15:00+00:00,91340.72,91815.0,91396.77,91766.46,131.828331
2025-11-20 00:30:00+00:00,91766.47,92222.52,91766.47,92141.93,122.30064328
2025-11-20 00:45:00+00:00,91759.55,92170.59,92141.92,91802.0,107.64873811
2025-11-20 01:00:00+00:00,91734.89,92275.75,91802.01,92123.28,145.32812404
2025-11-20 01:15:00+00:00,92050.43,92435.02,92133.86,92154.0,147.0648348
2025-11-20 01:30:00+00:00,92154.01,92624.99,92154.01,92480.45,129.27314519
2025-11-20 01:45:00+00:00,92390.01,92593.5,92480.44,92522.66,103.67243762
2025-11-20 02:00:00+00:00,92307.17,92728.85,92513.53,92588.01,157.17935183
2025-11-20 02:15:00+00:00,92358.75,92646.47,92588.01,92415.96,87.40894181
2025-11-20 02:30:00+00:00,92249.12,92504.64,92415.97,92316.0,96.60895462
2025-11-20 02:45:00+00:00,92225.35,92642.32,92316.0,92503.17,101.18921106
2025-11-20 03:00:00+00:00,92331.33,92600.08,92503.18,92353.43,73.32060933
2025-11-20 03:15:00+00:00,92279.69,92642.46,92353.42,92305.35,117.92792442
2025-11-20 03:30:00+00:00,92272.2,92591.13,92305.33,92401.9,81.20561288
2025-11-20 03:45:00+00:00,92327.48,92492.19,92403.86,92358.0,91.26392817
2025-11-20 04:00:00+00:00,92295.07,92472.38,92355.98,92384.04,89.95110845
2025-11-20 04:15:00+00:00,92048.0,92384.04,92384.04,92218.13,70.32655459
2025-11-20 04:30:00+00:00,92109.68,92331.32,92218.11,92226.56,103.06931451
2025-11-20 04:45:00+00:00,92214.99,92893.6,92226.56,92878.94,184.9004255
2025-11-20 05:00:00+00:00,92734.34,93080.91,92878.94,92800.61,173.71958925
2025-11-20 05:15:00+00:00,92577.45,92847.99,92800.62,92594.3,75.58868382
2025-11-20 05:30:00+00:00,92480.33,92613.43,92594.29,92496.56,35.60210303
2025-11-20 05:45:00+00:00,92492.99,92678.89,92496.56,92535.28,44.82628931
2025-11-20 06:00:00+00:00,92520.07,92775.36,92535.28,92617.04,45.75478222
2025-11-20 06:15:00+00:00,92311.19,92617.04,92617.04,92364.03,59.93353961
2025-11-20 06:30:00+00:00,91709.35,92419.98,92364.03,91760.0,93.90605662
2025-11-20 06:45:00+00:00,91601.9,91919.13,91760.0,91892.05,73.74682362
2025-11-20 07:00:00+00:00,91714.74,91996.61,91892.05,91972.0,77.35596629
2025-11-20 07:15:00+00:00,91748.5,91990.16,91972.66,91843.99,68.27726711
2025-11-20 07:30:00+00:00,91841.7,92105.64,91843.99,92058.0,52.64809248
2025-11-20 07:45:00+00:00,92057.99,92346.98,92058.0,92224.46,86.15596198
2025-11-20 08:00:00+00:00,92007.44,92315.53,92224.46,92036.0,52.36049466
2025-11-20 08:15:00+00:00,91970.32,92203.33,92036.0,92186.66,37.21535966
2025-11-20 08:30:00+00:00,92086.97,92257.91,92186.65,92183.62,43.0848116
2025-11-20 08:45:00+00:00,91949.98,92240.03,92183.46,92040.0,40.14360628
2025-11-20 09:00:00+00:00,91891.8,92053.43,92040.0,91999.14,60.89245721
2025-11-20 09:15:00+00:00,91677.05,92025.0,91990.76,91729.95,55.06286707
2025-11-20 09:30:00+00:00,91595.99,91855.32,91729.96,91598.97,56.12294352
2025-11-20 09:45:00+00:00,91356.88,91863.23,91600.67,91810.0,122.11264292
2025-11-20 10:00:00+00:00,91506.0,91944.15,91810.0,91542.1,73.32457007
2025-11-20 10:15:00+00:00,91531.11,91901.31,91542.1,91878.49,39.86214482
2025-11-20 10:30:00+00:00,91634.76,91964.0,91874.02,91699.99,48.34086815
2025-11-20 10:45:00+00:00,91634.77,91754.5,91696.96,91710.01,35.6029055
2025-11-20 11:00:00+00:00,91545.01,91731.9,91710.01,91652.65,46.15297492
2025-11-20 11:15:00+00:00,91381.96,91710.92,91652.64,91474.0,84.06377363
2025-11-20 11:30:00+00:00,91471.99,91765.25,91472.0,91711.02,43.98973367
2025-11-20 11:45:00+00:00,91670.19,91939.9,91711.02,91834.69,57.28719744
2025-11-20 12:00:00+00:00,91593.73,91907.1,91834.69,91606.2,40.55648929
2025-11-20 12:15:00+00:00,91574.46,91798.34,91606.19,91646.13,47.44988845
2025-11-20 12:30:00+00:00,91625.25,91852.45,91646.13,91662.17,47.26688732
2025-11-20 12:45:00+00:00,91649.05,91896.56,91662.18,91747.62,63.39601503
2025-11-20 13:00:00+00:00,91620.5,91917.23,91738.38,91906.05,80.12438419
2025-11-20 13:15:00+00:00,91649.97,92016.39,91901.99,91833.99,95.68045212
2025-11-20 13:30:00+00:00,91495.22,92462.85,91831.99,91534.32,256.30507131
2025-11-20 13:45:00+00:00,91392.0,91925.11,91534.35,91436.94,115.71245677
2025-11-20 14:00:00+00:00,90372.0,91443.23,91436.94,90610.0,368.85438833
2025-11-20 14:15:00+00:00,90544.73,91394.25,90610.0,91357.17,196.56377582
2025-11-20 14:30:00+00:00,90746.84,91583.0,91360.74,90920.76,274.94397229
2025-11-20 14:45:00+00:00,90558.18,91173.01,90926.0,91002.45,242.42608445
2025-11-20 15:00:00+00:00,90254.37,91078.0,91006.44,90305.99,315.5735038
2025-11-20 15:15:00+00:00,90149.14,90750.59,90300.52,90523.5,257.65840547
2025-11-20 15:30:00+00:00,90114.0,90587.56,90523.5,90490.0,165.30923197
2025-11-20 15:45:00+00:00,89701.0,90506.0,90485.97,89746.57,363.60173646
2025-11-20 16:00:00+00:00,88359.68,89804.0,89746.73,88602.15,677.764803
2025-11-20 16:15:00+00:00,88136.88,88993.56,88611.57,88611.64,530.03888022
2025-11-20 16:30:00+00:00,88000.0,88814.55,88608.02,88111.94,609.75097633
2025-11-20 16:45:00+00:00,87386.79,88334.57,88111.94,87776.0,766.61881778
2025-11-20 17:00:00+00:00,86610.0,88060.77,87772.5,86946.16,835.92023538
2025-11-20 17:15:00+00:00,86683.87,87264.99,86946.0,87031.09,731.95291385
2025-11-20 17:30:00+00:00,86300.0,87265.36,87028.0,86649.73,661.98951708
2025-11-20 17:45:00+00:00,86517.19,87196.23,86649.29,87136.57,313.92245799
2025-11-20 18:00:00+00:00,86841.67,87619.93,87136.56,87611.28,280.22418363
2025-11-20 18:15:00+00:00,86757.67,87674.43,87607.33,86860.0,356.41316252
2025-11-20 18:30:00+00:00,86520.02,86935.64,86860.0,86675.99,296.68831749
2025-11-20 18:45:00+00:00,86218.0,86672.0,86672.0,86376.7,347.25032737
2025-11-20 19:00:00+00:00,85980.7,86485.21,86376.69,86314.73,457.52607384
2025-11-20 19:15:00+00:00,86148.67,87044.0,86310.64,86817.04,339.10117467
2025-11-20 19:30:00+00:00,86325.01,86815.42,86815.42,86569.99,306.64609514
2025-11-20 19:45:00+00:00,86343.57,86894.19,86566.04,86796.05,248.42935171
2025-11-20 20:00:00+00:00,86195.95,86796.03,86796.03,86222.66,240.20086402
2025-11-20 20:15:00+00:00,86205.42,86941.39,86223.88,86924.18,272.6061373
2025-11-20 20:30:00+00:00,86305.82,86997.42,86924.17,86470.0,302.49326299
2025-11-20 20:45:00+00:00,86228.17,86613.48,86465.58,86333.83,396.6797742
2025-11-20 21:00:00+00:00,86294.05,86822.0,86335.37,86798.61,273.21788379
2025-11-20 21:15:00+00:00,86754.0,87358.0,86798.6,87031.45,196.77619754
2025-11-20 21:30:00+00:00,86943.01,87493.56,87031.45,87487.38,180.67878654
2025-11-20 21:45:00+00:00,87184.0,87570.64,87487.38,87184.0,976.70447023
2025-11-20 22:00:00+00:00,87100.0,87810.08,87179.41,87794.52,233.23839805
2025-11-20 22:15:00+00:00,87676.0,88029.12,87794.52,88029.12,184.52387664
2025-11-20 22:30:00+00:00,87555.44,88152.18,88029.11,88032.93,148.15095056
2025-11-20 22:45:00+00:00,87819.3,88112.11,88032.92,87969.55,94.74850309
2025-11-20 23:00:00+00:00,87240.59,88064.76,87969.47,87462.0,184.79641719
2025-11-20 23:15:00+00:00,87105.0,87650.64,87461.99,87165.78,153.8924435
2025-11-20 23:30:00+00:00,86669.17,87200.0,87165.78,86940.01,143.8348142
2025-11-20 23:45:00+00:00,86457.17,86979.84,86940.0,86536.88,156.39031245
2025-11-21 00:00:00+00:00,86484.45,87191.0,86531.87,87179.4,273.75533376
2025-11-21 00:15:00+00:00,86962.96,87319.67,87179.39,87174.65,150.08618504
