time,funding
2026-05-29 16:00:00+00:00,7.212e-05
2026-05-30 00:00:00+00:00,2.007e-05
2026-05-30 08:00:00+00:00,2.138e-05
2026-05-30 16:00:00+00:00,6.093e-05
2026-05-31 00:00:00+00:00,9.473e-05
2026-05-31 08:00:00+00:00,7.057e-05
2026-05-31 16:00:00+00:00,-1.604e-05
2026-06-01 00:00:00+00:00,7.484e-05
2026-06-01 08:00:00+00:00,1.818e-05
2026-06-01 16:00:00+00:00,0.0001
2026-06-02 00:00:00+00:00,0.0001
2026-06-02 08:00:00+00:00,1.034e-05
2026-06-02 16:00:00+00:00,1.899e-05
2026-06-03 00:00:00+00:00,-4.82e-06
2026-06-03 08:00:00+00:00,5.84e-05
2026-06-03 16:00:00+00:00,5.729e-05
2026-06-04 00:00:00+00:00,6.677e-05
2026-06-04 08:00:00+00:00,5.56e-06
2026-06-04 16:00:00+00:00,5.55e-06
2026-06-05 00:00:00+00:00,-1.296e-05
2026-06-05 08:00:00+00:00,-6.842e-05
2026-06-05 16:00:00+00:00,-6.866e-05
2026-06-06 00:00:00+00:00,-1.602e-05
2026-06-06 08:00:00+00:00,-1.159e-05
2026-06-06 16:00:00+00:00,-1.664e-05
2026-06-07 00:00:00+00:00,-5.333e-05
2026-06-07 08:00:00+00:00,-8.856e-05
2026-06-07 16:00:00+00:00,-9.555e-05
2026-06-08 00:00:00+00:00,-6.1e-05
2026-06-08 08:00:00+00:00,-6.487e-05
2026-06-08 16:00:00+00:00,-6.42e-06
2026-06-09 00:00:00+00:00,-9.635e-05
2026-06-09 08:00:00+00:00,1.503e-05
2026-06-09 16:00:00+00:00,-3.623e-05
2026-06-10 00:00:00+00:00,1.873e-05
2026-06-10 08:00:00+00:00,-4.172e-05
2026-06-10 16:00:00+00:00,1.88e-05
2026-06-11 00:00:00+00:00,-4.124e-05
2026-06-11 08:00:00+00:00,8.387e-05
2026-06-11 16:00:00+00:00,3.746e-05
2026-06-12 00:00:00+00:00,4.171e-05
2026-06-12 08:00:00+00:00,-3.488e-05
2026-06-12 16:00:00+00:00,3.138e-05
2026-06-13 00:00:00+00:00,-6.68e-06
2026-06-13 08:00:00+00:00,1.565e-05
2026-06-13 16:00:00+00:00,4.943e-05
2026-06-14 00:00:00+00:00,9.95e-06
2026-06-14 08:00:00+00:00,-8.17e-06
2026-06-14 16:00:00+00:00,7e-07
2026-06-15 00:00:00+00:00,5.909e-05
2026-06-15 08:00:00+00:00,1.371e-05
2026-06-15 16:00:00+00:00,1.47e-06
2026-06-16 00:00:00+00:00,3.068e-05
2026-06-16 08:00:00+00:00,-3.78e-05
2026-06-16 16:00:00+00:00,3.072e-05
2026-06-17 00:00:00+00:00,9.887e-05
2026-06-17 08:00:00+00:00,4.887e-05
2026-06-17 16:00:00+00:00,-5.85e-06
2026-06-18 00:00:00+00:00,9.18e-06
2026-06-18 08:00:00+00:00,-2.603e-05
2026-06-18 16:00:00+00:00,-1.353e-05
2026-06-19 00:00:00+00:00,7.51e-05
2026-06-19 08:00:00+00:00,-1.675e-05
2026-06-19 16:00:00+00:00,-1.938e-05
2026-06-20 00:00:00+00:00,2.49e-06
2026-06-20 08:00:00+00:00,5.547e-05
2026-06-20 16:00:00+00:00,6.553e-05
2026-06-21 00:00:00+00:00,7.965e-05
2026-06-21 08:00:00+00:00,-1.062e-05
2026-06-21 16:00:00+00:00,-5.91e-06
2026-06-22 00:00:00+00:00,-5.183e-05
2026-06-22 08:00:00+00:00,4.685e-05
2026-06-22 16:00:00+00:00,5.8e-05
2026-06-23 00:00:00+00:00,-2.336e-05
2026-06-23 08:00:00+00:00,-8.032e-05
2026-06-23 16:00:00+00:00,-5.207e-05
2026-06-24 00:00:00+00:00,-2.672e-05
2026-06-24 08:00:00+00:00,-2.78e-05
2026-06-24 16:00:00+00:00,5.98e-06
2026-06-25 00:00:00+00:00,1.31e-06
2026-06-25 08:00:00+00:00,5.447e-05
2026-06-25 16:00:00+00:00,-5.806e-05
2026-06-26 00:00:00+00:00,7.3e-06
2026-06-26 08:00:00+00:00,1.902e-05
